user_id,movie_id,rating
1,1008,2
1,156,5
1,337,3
1,581,1
1,905,2
1,973,3
1,320,2
1,38,5
1,414,3
1,384,3
1,1036,2
1,425,1
1,287,4
1,352,2
1,387,4
1,854,2
1,44,4
1,299,2
1,1013,3
1,119,5
1,767,4
1,343,1
1,590,3
1,60,3
1,288,2
1,501,3
1,205,2
1,547,2
1,192,3
1,666,5
1,945,2
1,45,2
2,389,3
2,324,2
2,430,4
2,646,2
2,84,3
2,250,3
2,509,3
2,298,1
2,1041,3
2,425,3
2,907,2
2,937,4
2,870,3
2,20,4
2,993,1
2,92,3
2,15,4
2,406,2
2,165,3
2,153,2
2,267,3
2,224,3
2,704,3
2,156,4
2,548,2
2,1036,2
2,426,3
2,657,2
2,1017,2
2,102,1
2,411,1
2,886,3
2,976,3
2,612,1
2,108,2
2,942,1
3,168,3
3,478,1
3,927,2
3,574,2
3,700,4
3,323,1
3,579,2
3,443,2
3,676,2
3,22,2
3,493,1
3,276,4
3,309,4
3,1008,2
3,151,4
3,293,3
3,511,2
3,900,3
3,409,4
3,769,2
3,893,3
3,292,1
3,383,3
3,343,1
3,867,1
3,19,5
3,290,2
3,698,1
3,572,4
3,430,4
3,544,3
3,424,5
3,502,2
3,942,5
3,237,3
3,905,4
3,659,3
3,10,4
3,748,3
3,16,3
3,1048,2
3,910,1
3,278,4
3,234,2
3,370,2
3,342,4
3,360,4
3,301,4
3,634,3
3,131,4
3,881,2
3,844,4
3,475,3
3,889,4
3,222,3
3,9,3
3,632,4
3,454,2
3,940,4
3,1017,3
3,648,2
3,791,3
3,45,4
3,127,5
3,757,2
3,425,2
3,441,3
3,624,1
3,159,3
3,646,5
4,605,1
4,13,4
4,38,4
4,758,4
4,305,4
4,332,3
4,180,1
4,441,5
4,24,1
4,281,3
4,530,4
4,463,2
4,1050,1
4,378,4
4,376,4
4,504,2
4,160,4
4,914,2
4,580,2
4,162,2
4,823,2
4,15,2
4,1031,1
4,902,5
4,588,4
4,73,4
4,187,3
4,258,1
4,216,4
4,498,4
4,990,2
4,439,3
4,678,3
4,708,4
4,909,4
4,395,1
4,814,1
4,847,3
4,971,3
4,724,1
4,220,4
4,507,3
4,14,3
4,662,2
4,560,2
4,684,3
4,974,4
4,707,2
4,303,2
4,169,5
4,891,4
4,164,3
4,128,3
4,178,2
4,510,3
4,87,3
4,982,4
4,1013,3
4,1021,4
5,690,4
5,120,4
5,97,4
5,175,4
5,794,3
5,275,3
5,10,3
5,989,3
5,137,4
5,5,4
5,211,3
5,209,4
5,415,2
5,963,1
5,918,3
5,453,3
5,402,4
5,561,2
5,218,2
5,24,3
5,984,1
5,156,5
5,169,2
5,470,4
5,491,3
5,9,2
5,113,4
5,366,2
5,703,3
5,202,4
5,416,4
5,564,2
5,928,1
5,309,1
5,489,2
5,772,4
5,71,4
5,418,2
5,15,4
5,482,2
5,279,2
5,880,4
5,613,3
5,450,5
5,399,2
5,497,3
5,17,3
5,933,3
5,1049,4
5,150,2
5,83,5
5,108,4
5,678,1
5,883,3
5,783,2
5,458,3
5,635,3
6,841,2
6,325,2
6,379,4
6,782,4
6,41,3
6,902,3
6,424,3
6,590,1
6,784,5
6,243,4
6,930,2
6,1028,3
6,494,1
6,981,2
6,1,4
6,934,2
6,293,1
6,201,3
6,299,5
6,185,4
6,947,3
6,939,4
6,63,3
6,108,2
6,896,2
7,754,2
7,185,2
7,43,3
7,255,2
7,224,3
7,208,1
7,163,4
7,583,3
7,311,2
7,853,3
7,153,4
7,462,3
7,6,5
7,480,4
7,28,5
7,1026,3
7,820,4
7,490,3
7,46,4
7,602,1
7,785,4
7,160,4
7,576,3
7,846,3
7,796,2
7,834,3
7,918,2
7,982,1
7,397,3
7,717,2
7,1046,2
7,8,3
8,294,4
8,850,5
8,85,3
8,152,2
8,996,4
8,877,2
8,377,2
8,653,2
8,988,2
8,184,2
8,31,3
8,542,3
8,107,4
8,157,5
8,931,2
8,4,2
8,849,4
8,519,1
8,566,4
8,689,1
8,425,3
8,78,3
8,64,2
8,780,4
8,194,4
8,13,3
8,1028,2
8,1029,4
8,366,2
8,12,2
8,750,2
8,865,1
8,88,2
8,100,4
8,855,5
9,961,2
9,687,5
9,6,4
9,176,5
9,702,4
9,791,3
9,874,4
9,272,3
9,975,1
9,559,4
9,717,3
9,607,2
9,86,2
9,1010,3
9,231,4
9,845,1
9,631,5
9,872,3
9,518,4
9,365,4
9,965,3
9,16,4
9,892,2
9,204,4
9,884,3
9,104,4
9,589,5
9,927,2
9,471,3
9,772,2
9,836,1
9,761,3
9,968,1
9,442,3
9,141,2
9,20,2
9,222,5
9,108,2
9,564,1
9,154,3
9,17,3
9,865,1
9,601,2
9,344,3
9,934,3
9,40,2
9,1029,4
9,628,2
9,152,5
9,697,4
9,790,2
9,423,3
9,898,1
9,116,1
9,257,4
9,53,2
9,182,5
9,213,4
9,960,2
9,46,4
9,425,4
10,1030,5
10,975,2
10,761,2
10,714,2
10,321,2
10,65,4
10,582,2
10,584,4
10,998,3
10,437,1
10,710,3
10,583,2
10,145,2
10,602,2
10,545,3
10,494,2
10,515,3
10,131,1
10,460,4
10,617,3
10,489,2
10,488,3
10,42,3
10,160,1
10,304,2
10,412,1
10,604,5
10,900,3
10,126,2
10,7,1
10,445,2
10,426,2
10,558,3
10,867,4
10,833,2
10,61,2
10,978,2
10,72,3
10,649,2
10,690,2
10,698,3
10,242,1
10,314,2
10,554,3
10,170,2
10,10,2
10,569,2
10,462,2
10,673,1
10,112,4
10,876,1
10,111,3
10,931,1
10,557,2
11,14,1
11,679,2
11,359,1
11,661,2
11,342,5
11,692,2
11,753,3
11,710,2
11,76,4
11,673,4
11,258,2
11,13,4
11,407,2
11,427,1
11,464,2
11,726,3
11,290,1
11,297,2
11,33,2
11,706,3
11,575,3
11,335,3
11,542,2
11,467,4
11,513,3
11,650,3
11,677,3
11,268,4
11,105,4
11,123,5
11,654,4
11,911,1
11,401,1
11,137,4
11,783,2
11,866,4
11,919,2
11,618,1
11,897,1
11,7,3
11,68,2
11,52,5
11,734,3
11,39,5
11,497,2
11,470,2
11,292,2
11,908,2
11,138,2
11,338,1
11,802,1
11,691,1
11,849,1
11,976,3
11,914,3
11,305,4
11,597,4
12,591,4
12,115,4
12,872,2
12,922,3
12,463,3
12,180,3
12,993,5
12,921,1
12,219,1
12,56,4
12,435,3
12,695,2
12,143,2
12,515,4
12,418,3
12,930,3
12,423,1
12,538,2
12,1001,2
12,280,2
12,268,1
12,830,2
12,256,2
12,866,3
12,73,3
12,942,1
12,545,4
12,741,1
12,198,2
12,133,4
12,869,4
12,345,4
12,451,3
12,13,3
12,375,5
12,798,3
12,854,5
12,718,3
13,432,4
13,804,2
13,742,2
13,90,1
13,20,2
13,916,4
13,43,3
13,114,4
13,11,3
13,642,5
13,591,3
13,1036,3
13,926,4
13,402,1
13,359,2
13,277,4
13,118,3
13,102,4
13,96,3
13,76,4
13,215,4
13,288,5
13,1008,2
13,587,4
13,1037,3
13,360,3
13,454,4
13,308,2
13,152,1
13,108,4
13,990,4
13,19,2
13,116,1
13,416,5
13,155,3
13,351,3
13,103,3
14,760,2
14,804,1
14,840,2
14,578,3
14,5,2
14,788,4
14,68,2
14,79,2
14,617,3
14,1032,3
14,217,1
14,661,5
14,285,2
14,939,2
14,603,4
14,179,4
14,239,3
14,426,4
14,85,3
14,43,5
14,699,1
14,398,3
14,749,3
14,72,1
14,621,2
14,438,2
14,30,3
14,550,2
14,44,3
14,861,1
14,646,2
14,563,4
14,97,3
14,267,2
14,493,1
14,647,3
14,152,5
14,4,5
14,330,3
14,482,1
14,153,3
14,492,3
14,323,2
